,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,GOOG211015P00780000,2020-10-27 8:37AM EST,780.0,7.5,2.35,3.6,0.0,-,-,15,44.64%
1,GOOG211015P00800000,2020-12-03 3:10PM EST,800.0,2.75,2.05,3.6,0.0,-,5,0,43.42%
2,GOOG211015P00880000,2020-10-30 8:45AM EST,880.0,11.82,3.9,5.9,0.0,-,1,2,42.09%
3,GOOG211015P00980000,2020-11-18 3:43PM EST,980.0,10.2,6.8,8.8,0.0,-,1,9,39.33%
4,GOOG211015P01000000,2020-11-03 3:21PM EST,1000.0,21.13,7.5,9.3,0.0,-,-,1,38.63%
5,GOOG211015P01200000,2020-11-23 12:01PM EST,1200.0,29.42,21.2,22.8,0.0,-,9,15,35.20%
6,GOOG211015P01260000,2020-11-16 11:03AM EST,1260.0,34.05,26.5,29.9,0.0,-,1,3,34.55%
7,GOOG211015P01300000,2020-11-20 1:57PM EST,1300.0,40.15,33.1,35.2,0.0,-,2,4,34.03%
8,GOOG211015P01400000,2020-12-01 11:34AM EST,1400.0,53.0,47.9,51.0,0.0,-,1,17,32.63%
9,GOOG211015P01440000,2020-12-01 12:30PM EST,1440.0,56.7,57.9,59.5,0.0,-,13,15,32.27%
10,GOOG211015P01530000,2020-11-05 10:35AM EST,1530.0,105.75,77.3,81.8,0.0,-,-,1,31.39%
11,GOOG211015P01570000,2020-11-30 1:06PM EST,1570.0,105.5,91.0,94.2,0.0,-,-,2,31.15%
12,GOOG211015P01580000,2020-12-02 12:48PM EST,1580.0,94.7,94.4,97.7,0.0,-,-,4,31.13%
13,GOOG211015P01600000,2020-11-27 11:32AM EST,1600.0,105.2,100.8,104.1,0.0,-,4,4,30.94%
14,GOOG211015P01640000,2020-11-05 3:17PM EST,1640.0,149.47,112.4,117.2,0.0,-,-,1,30.48%
15,GOOG211015P01670000,2020-11-11 3:10PM EST,1670.0,160.29,125.4,129.6,0.0,-,2,2,30.43%
16,GOOG211015P01680000,2020-11-11 10:51AM EST,1680.0,167.78,129.1,133.6,0.0,-,1,1,30.37%
17,GOOG211015P01690000,2020-11-11 11:59AM EST,1690.0,171.64,132.4,137.7,0.0,-,2,1,30.31%
18,GOOG211015P01700000,2020-11-11 3:10PM EST,1700.0,173.89,136.6,141.8,0.0,-,1,1,30.23%
19,GOOG211015P01710000,2020-11-24 10:30AM EST,1710.0,176.2,141.1,146.3,0.0,-,-,1,30.21%
20,GOOG211015P01720000,2020-11-24 10:30AM EST,1720.0,181.1,145.9,150.4,0.0,-,-,1,30.12%
21,GOOG211015P01740000,2020-11-27 10:01AM EST,1740.0,168.44,153.5,159.4,0.0,-,1,1,30.01%
22,GOOG211015P01750000,2020-11-25 3:17PM EST,1750.0,177.4,158.0,163.8,0.0,-,-,4,29.93%
23,GOOG211015P01760000,2020-11-25 3:17PM EST,1760.0,182.3,163.3,168.4,0.0,-,-,4,29.86%
24,GOOG211015P01800000,2020-12-02 2:54PM EST,1800.0,181.85,182.5,187.5,0.0,-,1,2,29.58%
25,GOOG211015P01820000,2020-12-02 2:54PM EST,1820.0,191.5,192.5,197.9,0.0,-,-,1,29.50%
26,GOOG211015P01840000,2020-12-02 2:54PM EST,1840.0,201.9,203.0,208.7,0.0,-,-,1,29.44%
27,GOOG211015P01860000,2020-12-02 2:54PM EST,1860.0,212.19,214.3,219.4,0.0,-,-,1,29.31%
28,GOOG211015P01900000,2020-12-02 12:36PM EST,1900.0,235.38,235.7,241.8,0.0,-,-,2,29.06%
29,GOOG211015P02100000,2020-11-05 10:05AM EST,2100.0,397.12,358.6,366.7,0.0,-,-,0,27.10%
30,GOOG211015P02300000,2020-11-06 3:12PM EST,2300.0,579.2,513.5,522.4,0.0,-,1,1,25.80%
