,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,GOOG210319P00720000,2020-12-01 10:07AM EST,720.0,0.4,0.0,0.6,0.0,-,16,115,62.94%
1,GOOG210319P00740000,2020-09-25 9:50AM EST,740.0,2.25,0.4,1.2,0.0,-,1,5,67.82%
2,GOOG210319P00760000,2020-10-08 8:30AM EST,760.0,2.35,0.15,0.95,0.0,-,10,11,63.26%
3,GOOG210319P00780000,2020-10-08 9:28AM EST,780.0,2.55,0.25,1.05,0.0,-,20,30,62.62%
4,GOOG210319P00800000,2020-12-04 10:15AM EST,800.0,0.5,0.0,0.75,0.3,+150.00%,50,77,57.42%
5,GOOG210319P00820000,2020-10-15 2:15PM EST,820.0,2.35,0.0,0.95,0.0,-,4,21,57.18%
6,GOOG210319P00840000,2020-11-05 3:50PM EST,840.0,1.12,0.0,0.8,0.0,-,3,20,54.57%
7,GOOG210319P00860000,2020-11-05 3:34PM EST,860.0,1.27,0.0,0.85,0.0,-,3,6,53.35%
8,GOOG210319P00880000,2020-10-26 10:28AM EST,880.0,2.65,0.45,1.15,0.0,-,3,61,55.54%
9,GOOG210319P00900000,2020-10-09 12:33PM EST,900.0,5.0,1.25,2.1,0.0,-,1,67,59.17%
10,GOOG210319P00920000,2020-10-05 12:50PM EST,920.0,7.9,0.6,3.4,0.0,-,40,53,58.88%
11,GOOG210319P00940000,2020-11-10 3:14PM EST,940.0,1.85,0.3,1.2,0.0,-,113,150,50.48%
12,GOOG210319P00960000,2020-11-09 2:29PM EST,960.0,1.83,0.4,1.3,0.0,-,1,17,52.41%
13,GOOG210319P00980000,2020-11-04 10:04AM EST,980.0,3.07,0.45,1.35,0.0,-,8,72,51.11%
14,GOOG210319P01000000,2020-12-03 10:09AM EST,1000.0,0.9,0.6,1.55,0.0,-,30,134,50.51%
15,GOOG210319P01020000,2020-11-10 12:01PM EST,1020.0,2.75,0.75,1.7,0.0,-,10,29,49.61%
16,GOOG210319P01040000,2020-12-01 10:06AM EST,1040.0,1.41,0.95,1.85,0.0,-,4,31,48.67%
17,GOOG210319P01060000,2020-12-07 1:48PM EST,1060.0,1.6,1.05,2.0,-10.5,-86.78%,1,46,47.71%
18,GOOG210319P01080000,2020-11-23 10:34AM EST,1080.0,3.34,1.3,2.25,0.0,-,1,119,47.02%
19,GOOG210319P01100000,2020-11-16 10:11AM EST,1100.0,3.72,1.5,2.45,0.0,-,3,105,46.13%
20,GOOG210319P01120000,2020-11-24 10:44AM EST,1120.0,3.9,1.75,2.75,0.0,-,1,56,45.46%
21,GOOG210319P01140000,2020-12-01 9:51AM EST,1140.0,3.4,2.05,3.0,0.0,-,2,61,44.60%
22,GOOG210319P01160000,2020-12-01 12:09PM EST,1160.0,2.76,2.35,3.4,0.0,-,10,40,44.03%
23,GOOG210319P01180000,2020-12-07 12:09PM EST,1180.0,3.07,2.7,3.7,-2.01,-39.57%,3,31,43.17%
24,GOOG210319P01200000,2020-12-07 12:08PM EST,1200.0,3.48,3.1,3.9,-0.02,-0.57%,4,101,42.09%
25,GOOG210319P01220000,2020-11-20 1:20PM EST,1220.0,7.0,3.5,4.6,0.0,-,3,40,41.84%
26,GOOG210319P01240000,2020-12-01 10:06AM EST,1240.0,5.15,4.0,5.1,0.0,-,8,43,41.16%
27,GOOG210319P01260000,2020-11-30 3:08PM EST,1260.0,6.8,4.5,5.7,0.0,-,1,118,40.54%
28,GOOG210319P01280000,2020-12-01 12:09PM EST,1280.0,5.79,5.2,6.4,0.0,-,21,42,39.97%
29,GOOG210319P01300000,2020-11-23 11:51AM EST,1300.0,6.5,6.1,7.0,-6.17,-48.70%,1,89,39.21%
30,GOOG210319P01320000,2020-12-07 12:56PM EST,1320.0,7.4,7.1,7.9,-3.09,-29.46%,7,149,38.70%
31,GOOG210319P01340000,2020-12-07 1:03PM EST,1340.0,8.4,7.7,8.9,-1.44,-14.63%,20,66,38.20%
32,GOOG210319P01360000,2020-12-04 3:43PM EST,1360.0,9.0,9.1,9.9,0.0,-,1,23,37.60%
33,GOOG210319P01380000,2020-12-07 3:34PM EST,1380.0,10.9,10.2,11.1,-4.3,-28.29%,16,30,37.09%
34,GOOG210319P01395000,2020-12-07 2:06PM EST,1395.0,11.9,11.1,12.1,-4.7,-28.31%,16,16,36.72%
35,GOOG210319P01400000,2020-12-07 12:54PM EST,1400.0,12.0,11.4,12.5,0.0,-,16,160,36.63%
36,GOOG210319P01405000,2020-12-07 3:34PM EST,1405.0,12.7,11.9,12.9,-4.9,-27.84%,14,11,36.53%
37,GOOG210319P01410000,2020-12-07 3:51PM EST,1410.0,12.7,12.4,13.3,-3.0,-19.11%,10,53,36.43%
38,GOOG210319P01415000,2020-12-07 3:27PM EST,1415.0,13.4,12.6,13.6,-2.7,-16.77%,13,26,36.25%
39,GOOG210319P01420000,2020-12-07 2:43PM EST,1420.0,13.8,12.9,14.1,-11.2,-44.80%,4,41,36.21%
40,GOOG210319P01425000,2020-12-07 3:08PM EST,1425.0,14.4,13.3,14.5,-9.53,-39.82%,13,19,36.08%
41,GOOG210319P01430000,2020-12-07 2:27PM EST,1430.0,14.8,14.0,14.9,-5.5,-27.09%,3,15,35.95%
42,GOOG210319P01435000,2020-12-07 1:54PM EST,1435.0,15.3,14.2,15.3,-3.0,-16.39%,12,69,35.81%
43,GOOG210319P01440000,2020-12-07 2:44PM EST,1440.0,15.4,14.6,15.9,1.32,+9.37%,12,35,35.80%
44,GOOG210319P01445000,2020-12-07 1:27PM EST,1445.0,16.1,15.2,16.2,-6.4,-28.44%,12,39,35.59%
45,GOOG210319P01450000,2020-12-07 3:34PM EST,1450.0,16.7,15.6,16.7,-0.11,-0.65%,12,183,35.49%
46,GOOG210319P01455000,2020-12-07 2:44PM EST,1455.0,16.9,16.0,17.2,-6.5,-27.78%,11,24,35.39%
47,GOOG210319P01460000,2020-12-07 2:49PM EST,1460.0,17.4,16.5,17.7,-13.97,-44.53%,11,51,35.28%
48,GOOG210319P01465000,2020-12-07 2:32PM EST,1465.0,18.2,16.9,18.3,-8.16,-30.96%,11,46,35.22%
49,GOOG210319P01470000,2020-12-07 1:43PM EST,1470.0,19.1,17.5,18.8,-5.33,-21.82%,11,42,35.10%
50,GOOG210319P01475000,2020-12-07 12:57PM EST,1475.0,19.1,18.1,19.3,-0.4,-2.05%,15,10,34.97%
51,GOOG210319P01480000,2020-12-07 1:54PM EST,1480.0,20.0,18.6,19.9,1.02,+5.37%,10,58,34.88%
52,GOOG210319P01485000,2020-12-07 1:27PM EST,1485.0,20.5,19.3,20.5,-2.6,-11.26%,10,9,34.79%
53,GOOG210319P01490000,2020-12-07 1:52PM EST,1490.0,21.4,19.8,21.1,-2.2,-9.32%,10,83,34.69%
54,GOOG210319P01495000,2020-12-07 1:52PM EST,1495.0,21.9,20.4,21.7,1.6,+7.88%,10,34,34.59%
55,GOOG210319P01500000,2020-12-07 1:26PM EST,1500.0,22.4,21.1,22.3,1.04,+4.87%,19,376,34.47%
56,GOOG210319P01505000,2020-12-01 11:24AM EST,1505.0,26.0,21.6,23.0,0.0,-,1,21,34.40%
57,GOOG210319P01510000,2020-12-01 3:16PM EST,1510.0,26.7,22.3,23.7,0.0,-,20,33,34.32%
58,GOOG210319P01515000,2020-12-07 1:43PM EST,1515.0,25.0,23.0,24.3,-6.6,-20.89%,5,16,34.19%
59,GOOG210319P01520000,2020-12-02 11:57AM EST,1520.0,24.1,23.7,25.1,0.0,-,53,63,34.14%
60,GOOG210319P01525000,2020-12-02 12:07PM EST,1525.0,25.0,24.3,25.8,0.0,-,10,44,34.04%
61,GOOG210319P01530000,2020-12-07 10:55AM EST,1530.0,25.43,24.8,26.5,0.17,+0.67%,70,157,33.93%
62,GOOG210319P01535000,2020-12-02 10:06AM EST,1535.0,30.5,25.7,27.3,0.0,-,2,25,33.85%
63,GOOG210319P01540000,2020-12-07 10:47AM EST,1540.0,26.96,26.5,28.1,0.04,+0.15%,5,68,33.77%
64,GOOG210319P01545000,2020-11-25 11:12AM EST,1545.0,38.6,26.4,28.9,0.0,-,1,9,33.68%
65,GOOG210319P01550000,2020-12-07 9:30AM EST,1550.0,28.5,27.2,29.7,0.06,+0.21%,2,311,33.58%
66,GOOG210319P01555000,2020-12-07 12:59PM EST,1555.0,30.59,28.8,30.6,-10.21,-25.02%,10,48,33.52%
67,GOOG210319P01560000,2020-12-07 10:55AM EST,1560.0,30.22,29.7,31.5,-24.08,-44.35%,60,118,33.45%
