,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,GOOG210618C00520000,2020-11-02 11:47AM EST,520.0,1141.0,1304.5,1313.6,0.0,-,1,21,96.29%
1,GOOG210618C00540000,2020-07-09 3:58PM EST,540.0,595.0,0.0,0.0,0.0,-,3,5,0.00%
2,GOOG210618C00560000,2020-08-24 9:26AM EST,560.0,1037.5,882.1,890.8,0.0,-,2,2,0.00%
3,GOOG210618C00580000,2020-07-01 11:59AM EST,580.0,860.73,902.0,912.0,0.0,-,4,2,0.00%
4,GOOG210618C00600000,2020-08-03 10:35AM EST,600.0,878.0,1127.0,1137.0,0.0,-,2,11,0.00%
5,GOOG210618C00640000,2020-07-09 3:58PM EST,640.0,642.04,0.0,0.0,0.0,-,2,2,0.00%
6,GOOG210618C00680000,2020-11-18 3:16PM EST,680.0,1077.01,1136.4,1146.0,0.0,-,2,5,58.73%
7,GOOG210618C00700000,2020-11-11 1:44PM EST,700.0,1063.5,1116.5,1126.0,0.0,-,5,9,57.32%
8,GOOG210618C00720000,2020-07-09 3:58PM EST,720.0,405.0,0.0,0.0,0.0,-,-,1,0.00%
9,GOOG210618C00800000,2020-07-09 3:58PM EST,800.0,648.83,0.0,0.0,0.0,-,1,18,0.00%
10,GOOG210618C00820000,2020-07-09 3:58PM EST,820.0,419.14,0.0,0.0,0.0,-,2,1,0.00%
11,GOOG210618C00840000,2020-07-09 3:58PM EST,840.0,516.9,0.0,0.0,0.0,-,1,8,0.00%
12,GOOG210618C00860000,2020-07-09 3:58PM EST,860.0,317.5,0.0,0.0,0.0,-,1,8,0.00%
13,GOOG210618C00880000,2020-07-09 3:58PM EST,880.0,422.5,0.0,0.0,0.0,-,1,3,0.00%
14,GOOG210618C00900000,2020-09-15 11:40AM EST,900.0,662.24,678.5,688.1,0.0,-,1,16,0.00%
15,GOOG210618C00920000,2020-11-23 11:12AM EST,920.0,807.52,899.3,908.8,0.0,-,10,14,55.08%
16,GOOG210618C00940000,2020-07-09 3:58PM EST,940.0,241.54,0.0,0.0,0.0,-,-,1,0.00%
17,GOOG210618C00960000,2020-07-09 3:58PM EST,960.0,228.48,0.0,0.0,0.0,-,1,2,0.00%
18,GOOG210618C00980000,2020-09-09 12:53PM EST,980.0,602.0,549.3,557.8,0.0,-,2,4,0.00%
19,GOOG210618C01000000,2020-11-05 10:02AM EST,1000.0,800.0,830.0,838.1,0.0,-,5,28,54.04%
20,GOOG210618C01020000,2020-07-09 3:58PM EST,1020.0,224.0,0.0,0.0,0.0,-,4,12,0.00%
21,GOOG210618C01040000,2020-08-04 10:08AM EST,1040.0,467.6,639.0,649.0,0.0,-,2,46,0.00%
22,GOOG210618C01060000,2020-08-05 12:06PM EST,1060.0,457.7,570.0,579.5,0.0,-,1,21,0.00%
23,GOOG210618C01080000,2020-09-25 2:57PM EST,1080.0,405.0,578.1,586.0,0.0,-,1,20,0.00%
24,GOOG210618C01100000,2020-11-09 3:18PM EST,1100.0,704.11,724.2,733.5,0.0,-,1,69,46.29%
25,GOOG210618C01110000,2020-07-24 2:49PM EST,1110.0,446.53,503.0,512.5,0.0,-,1,5,0.00%
26,GOOG210618C01120000,2020-10-19 2:20PM EST,1120.0,446.33,637.9,645.1,0.0,-,1,23,0.00%
27,GOOG210618C01130000,2020-11-04 1:28PM EST,1130.0,634.51,704.4,712.2,0.0,-,1,12,49.83%
28,GOOG210618C01140000,2020-08-19 12:30PM EST,1140.0,468.9,365.5,375.0,0.0,-,1,5,0.00%
29,GOOG210618C01150000,2020-12-04 12:57PM EST,1150.0,692.45,676.3,685.7,0.0,-,10,25,44.38%
30,GOOG210618C01155000,2020-08-21 1:55PM EST,1155.0,474.31,354.0,363.5,0.0,-,1,5,0.00%
31,GOOG210618C01160000,2020-07-09 3:58PM EST,1160.0,319.81,0.0,0.0,0.0,-,10,23,0.00%
32,GOOG210618C01165000,2020-08-25 10:00AM EST,1165.0,483.19,329.6,336.7,0.0,-,1,43,0.00%
33,GOOG210618C01170000,2020-06-22 2:23PM EST,1170.0,348.0,444.0,453.1,0.0,-,1,21,0.00%
34,GOOG210618C01175000,2020-09-04 9:16AM EST,1175.0,492.05,341.0,351.0,0.0,-,3,12,0.00%
35,GOOG210618C01180000,2020-10-19 2:20PM EST,1180.0,397.39,581.9,589.1,0.0,-,1,6,0.00%
36,GOOG210618C01185000,2020-09-01 2:18PM EST,1185.0,528.13,358.2,365.8,0.0,-,1,4,0.00%
37,GOOG210618C01190000,2020-07-09 3:58PM EST,1190.0,228.7,0.0,0.0,0.0,-,1,9,0.00%
38,GOOG210618C01195000,2020-07-09 3:58PM EST,1195.0,225.7,0.0,0.0,0.0,-,1,5,0.00%
39,GOOG210618C01200000,2020-11-05 12:48PM EST,1200.0,588.6,639.1,645.6,0.0,-,1,96,46.51%
40,GOOG210618C01205000,2020-09-03 11:56AM EST,1205.0,506.82,320.1,327.1,0.0,-,2,5,0.00%
41,GOOG210618C01210000,2020-11-05 11:00AM EST,1210.0,588.15,628.4,636.3,0.0,-,1,18,46.13%
42,GOOG210618C01220000,2020-12-02 10:50AM EST,1220.0,606.6,610.2,619.5,0.0,-,1,2,41.89%
43,GOOG210618C01225000,2020-10-20 1:11PM EST,1225.0,394.95,556.0,566.0,0.0,-,3,2,0.00%
44,GOOG210618C01230000,2020-09-24 8:30AM EST,1230.0,272.75,450.1,456.7,0.0,-,1,7,0.00%
45,GOOG210618C01235000,2020-09-03 1:05PM EST,1235.0,482.0,299.4,306.2,0.0,-,1,3,0.00%
46,GOOG210618C01240000,2020-11-04 2:27PM EST,1240.0,539.6,600.3,608.1,0.0,-,1,44,44.82%
47,GOOG210618C01245000,2020-11-05 10:56AM EST,1245.0,554.85,595.7,603.4,0.0,-,2,3,44.60%
48,GOOG210618C01250000,2020-11-04 11:43AM EST,1250.0,544.14,591.0,598.8,0.0,-,1,17,44.42%
49,GOOG210618C01255000,2020-11-09 1:57PM EST,1255.0,553.85,577.6,586.9,0.0,-,1,17,40.77%
50,GOOG210618C01260000,2020-07-31 8:39AM EST,1260.0,293.0,446.9,455.0,0.0,-,1,27,0.00%
51,GOOG210618C01265000,2020-07-09 3:58PM EST,1265.0,246.0,0.0,0.0,0.0,-,1,11,0.00%
52,GOOG210618C01270000,2020-08-04 12:38PM EST,1270.0,289.44,458.5,468.5,0.0,-,1,8,0.00%
53,GOOG210618C01275000,2020-07-09 3:58PM EST,1275.0,185.0,0.0,0.0,0.0,-,20,23,0.00%
54,GOOG210618C01280000,2020-12-03 2:26PM EST,1280.0,565.34,554.6,563.8,0.0,-,1,7,40.00%
55,GOOG210618C01285000,2020-07-09 3:58PM EST,1285.0,254.0,0.0,0.0,0.0,-,1,7,0.00%
56,GOOG210618C01290000,2020-11-30 10:34AM EST,1290.0,498.4,545.4,554.6,0.0,-,4,6,39.69%
57,GOOG210618C01295000,2020-09-11 12:31PM EST,1295.0,298.92,298.7,304.6,0.0,-,1,8,0.00%
58,GOOG210618C01300000,2020-12-07 3:54PM EST,1300.0,536.67,536.3,545.2,-15.28,-2.77%,1,118,39.28%
59,GOOG210618C01305000,2020-07-02 2:41PM EST,1305.0,263.8,271.0,279.0,0.0,-,1,4,0.00%
60,GOOG210618C01310000,2020-09-09 9:25AM EST,1310.0,337.3,283.5,288.8,0.0,-,2,511,0.00%
61,GOOG210618C01315000,2020-07-09 3:58PM EST,1315.0,182.91,0.0,0.0,0.0,-,2,7,0.00%
62,GOOG210618C01320000,2020-08-11 12:18PM EST,1320.0,285.53,308.0,318.0,0.0,-,10,14,0.00%
63,GOOG210618C01325000,2020-11-30 3:59PM EST,1325.0,461.8,513.7,522.8,0.0,-,1,18,38.71%
64,GOOG210618C01330000,2020-10-07 11:32AM EST,1330.0,235.55,465.4,473.9,0.0,-,4,5,0.00%
65,GOOG210618C01335000,2020-10-27 12:09PM EST,1335.0,335.5,463.9,470.0,0.0,-,10,10,0.00%
66,GOOG210618C01340000,2020-07-07 11:43AM EST,1340.0,268.6,263.0,273.0,0.0,-,1,7,0.00%
67,GOOG210618C01345000,2020-07-09 3:58PM EST,1345.0,212.54,0.0,0.0,0.0,-,5,13,0.00%
68,GOOG210618C01350000,2020-12-02 10:50AM EST,1350.0,488.15,491.4,500.4,0.0,-,1,36,38.06%
69,GOOG210618C01360000,2020-11-04 10:01AM EST,1360.0,418.77,491.0,498.6,0.0,-,2,78,40.45%
70,GOOG210618C01370000,2020-11-12 10:50AM EST,1370.0,430.22,475.1,482.4,0.0,-,1,18,37.45%
71,GOOG210618C01380000,2020-11-12 10:50AM EST,1380.0,421.94,466.1,473.1,0.0,-,1,29,37.02%
72,GOOG210618C01390000,2020-11-19 10:43AM EST,1390.0,406.34,456.9,465.2,0.0,-,2,11,37.10%
73,GOOG210618C01400000,2020-12-04 3:38PM EST,1400.0,460.3,448.8,456.2,0.0,-,11,136,36.75%
74,GOOG210618C01420000,2020-11-27 11:34AM EST,1420.0,421.39,431.7,439.3,0.0,-,9,41,36.41%
75,GOOG210618C01440000,2020-12-07 11:06AM EST,1440.0,420.65,414.7,420.7,80.61,+23.71%,1,83,35.46%
76,GOOG210618C01460000,2020-12-03 2:26PM EST,1460.0,410.34,398.1,405.5,0.0,-,1,61,35.54%
77,GOOG210618C01465000,2020-11-30 12:02PM EST,1465.0,345.8,393.9,401.1,0.0,-,-,1,35.37%
78,GOOG210618C01480000,2020-11-30 11:39AM EST,1480.0,334.2,381.7,388.7,0.0,-,1,62,35.06%
79,GOOG210618C01485000,2020-11-27 10:44AM EST,1485.0,363.85,377.8,383.3,0.0,-,1,1,34.58%
80,GOOG210618C01490000,2020-11-30 2:18PM EST,1490.0,329.05,373.4,381.2,0.0,-,1,1,35.05%
81,GOOG210618C01495000,2020-12-02 2:13PM EST,1495.0,381.18,369.7,376.5,0.0,-,1,1,34.77%
82,GOOG210618C01500000,2020-12-07 11:23AM EST,1500.0,370.38,365.7,372.4,-5.38,-1.43%,1,496,34.66%
83,GOOG210618C01505000,2020-12-03 10:33AM EST,1505.0,390.0,361.8,369.1,0.0,-,-,1,34.77%
84,GOOG210618C01510000,2020-10-19 3:15PM EST,1510.0,213.6,318.4,322.6,0.0,-,-,0,20.77%
85,GOOG210618C01520000,2020-11-05 11:55AM EST,1520.0,325.5,356.7,363.9,0.0,-,1,51,36.29%
